utc,commit,env,board,app,mode,split,metric,value
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_double_arithmetic_ms,56
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_float_arithmetic_ms,53
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_int_arithmetic_ms,83
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_interface_dispatch_ms,43
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,36
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,57
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,30
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,30
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,benchmark,none,train,wall_ms,558
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,gcstress,none,holdout,passed,1
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,gcstress,none,holdout,wall_us,10352
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,inherit,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,interfacedemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,lambdademo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,listdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,mathsdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,stringdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,threaddemo,none,holdout,oom_count,0
2026-04-08T03:00:03Z,8faa208,sim,testbench_rp2350,trywithresourcesdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_array_operations_ms,130
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_control_flow_ms,41
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_double_arithmetic_ms,56
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_float_arithmetic_ms,55
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_int_arithmetic_ms,82
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_interface_dispatch_ms,42
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,36
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,57
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,30
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,33
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,benchmark,none,train,wall_ms,566
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,clinitdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,floatdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,gcstress,none,holdout,passed,1
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,gcstress,none,holdout,wall_us,10955
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,inherit,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,interfacedemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,lambdademo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,listdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,mathsdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,stringdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,threaddemo,none,holdout,oom_count,0
2026-04-09T03:00:04Z,360d5ef,sim,testbench_rp2350,trywithresourcesdemo,none,holdout,oom_count,0
2026-04-10T03:00:02Z,c9bfbb9,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
